[Epoch: 85]: Phase test  | Loss: 0.555 | Acc: 0.789
[Epoch: 86]: Phase train | Loss: 0.233 | Acc: 0.880
[Epoch: 86]: Phase valid | Loss: 0.125 | Acc: 0.895
[Epoch: 86]: Phase test  | Loss: 0.475 | Acc: 0.789
[Epoch: 87]: Phase train | Loss: 0.217 | Acc: 0.900
[Epoch: 87]: Phase valid | Loss: 0.133 | Acc: 0.947
[Epoch: 87]: Phase test  | Loss: 0.462 | Acc: 0.789
[Epoch: 88]: Phase train | Loss: 0.256 | Acc: 0.893
[Epoch: 88]: Phase valid | Loss: 0.114 | Acc: 0.947
[Epoch: 88]: Phase test  | Loss: 0.487 | Acc: 0.789
[Epoch: 89]: Phase train | Loss: 0.226 | Acc: 0.893
[Epoch: 89]: Phase valid | Loss: 0.124 | Acc: 1.000
[Epoch: 89]: Phase test  | Loss: 0.588 | Acc: 0.684
[Epoch: 90]: Phase train | Loss: 0.218 | Acc: 0.920
[Epoch: 90]: Phase valid | Loss: 0.163 | Acc: 0.947
[Epoch: 90]: Phase test  | Loss: 0.638 | Acc: 0.737
[Epoch: 91]: Phase train | Loss: 0.233 | Acc: 0.907
[Epoch: 91]: Phase valid | Loss: 0.192 | Acc: 0.947
[Epoch: 91]: Phase test  | Loss: 0.648 | Acc: 0.737
[Epoch: 92]: Phase train | Loss: 0.196 | Acc: 0.907
[Epoch: 92]: Phase valid | Loss: 0.167 | Acc: 0.947
[Epoch: 92]: Phase test  | Loss: 0.578 | Acc: 0.737
[Epoch: 93]: Phase train | Loss: 0.259 | Acc: 0.887
[Epoch: 93]: Phase valid | Loss: 0.138 | Acc: 0.947
[Epoch: 93]: Phase test  | Loss: 0.541 | Acc: 0.737
[Epoch: 94]: Phase train | Loss: 0.235 | Acc: 0.893
[Epoch: 94]: Phase valid | Loss: 0.126 | Acc: 0.895
[Epoch: 94]: Phase test  | Loss: 0.532 | Acc: 0.737
[Epoch: 95]: Phase train | Loss: 0.248 | Acc: 0.867
[Epoch: 95]: Phase valid | Loss: 0.110 | Acc: 0.947
[Epoch: 95]: Phase test  | Loss: 0.608 | Acc: 0.737
[Epoch: 96]: Phase train | Loss: 0.230 | Acc: 0.887
[Epoch: 96]: Phase valid | Loss: 0.097 | Acc: 1.000
[Epoch: 96]: Phase test  | Loss: 0.637 | Acc: 0.737
[Epoch: 97]: Phase train | Loss: 0.199 | Acc: 0.920
[Epoch: 97]: Phase valid | Loss: 0.129 | Acc: 0.947
[Epoch: 97]: Phase test  | Loss: 0.608 | Acc: 0.684
[Epoch: 98]: Phase train | Loss: 0.192 | Acc: 0.927
[Epoch: 98]: Phase valid | Loss: 0.183 | Acc: 0.895
[Epoch: 98]: Phase test  | Loss: 0.591 | Acc: 0.737
[Epoch: 99]: Phase train | Loss: 0.194 | Acc: 0.907
[Epoch: 99]: Phase valid | Loss: 0.215 | Acc: 0.895
[Epoch: 99]: Phase test  | Loss: 0.585 | Acc: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
[Evaluating Model]: Classifier accuracy: 0.789
